char	code	weight	source	note	old_code	status
昇	seng1	1	ruianese.character_01.dict.yaml:305	already valid	seng1	ok
陞	seng1	1	ruianese.character_01.dict.yaml:306	already valid	seng1	ok
夭	yeu1	1	ruianese.character_01.dict.yaml:307	no valid mapping; tried yeu1, ye1; 夭夭	yeu1	unresolved
夭	yeu2	1	ruianese.character_01.dict.yaml:308	no valid mapping; tried yeu2, ye2	yeu2	unresolved
殀	yeu2	1	ruianese.character_01.dict.yaml:309	no valid mapping; tried yeu2, ye2; 殀折	yeu2	unresolved
幣	bbei8	1	ruianese.character_01.dict.yaml:310	already valid	bbei8	ok
反	fo2	1	ruianese.character_01.dict.yaml:311	already valid	fo2	ok
爻	hho5	1	ruianese.character_01.dict.yaml:312	already valid	hho5	ok
乏	vo7	1	ruianese.character_01.dict.yaml:313	already valid	vo7	ok
氏	zzi5	1	ruianese.character_01.dict.yaml:314	already valid; 氏族	zzi5	ok
氏	zei1	1	ruianese.character_01.dict.yaml:315	already valid; 月氏	zei1	ok
丹	do1	1	ruianese.character_01.dict.yaml:316	already valid	do1	ok
烏	vu1	1	ruianese.character_01.dict.yaml:317	already valid	vu1	ok
生	sa3	1	ruianese.character_01.dict.yaml:319	already valid	sa3	ok
玍	ga2	1	ruianese.character_01.dict.yaml:320	already valid	ga2	ok
失	sa3	1	ruianese.character_01.dict.yaml:321	already valid	sa3	ok
乍	zzo8	1	ruianese.character_01.dict.yaml:322	already valid	zzo8	ok
丘	qiao1	1	ruianese.character_01.dict.yaml:323	already valid	qiao1	ok
坵	qiao1	1	ruianese.character_01.dict.yaml:324	already valid	qiao1	ok
卮	zei1	1	ruianese.character_01.dict.yaml:325	already valid	zei1	ok
巵	zei1	1	ruianese.character_01.dict.yaml:326	already valid	zei1	ok
乎	vu5	1	ruianese.character_01.dict.yaml:327	vvu5->vu5	vvu5	converted
用	xyjuo8	1	ruianese.character_01.dict.yaml:328	no valid mapping; tried xyjuo8, xjuo8	xyjuo8	unresolved
甩	xia3	1	ruianese.character_01.dict.yaml:329	already valid	xia3	ok
氐	dei2	1	ruianese.character_01.dict.yaml:330	already valid	dei2	ok
氐	dei1	1	ruianese.character_01.dict.yaml:331	already valid	dei1	ok
樂	loe7	1	ruianese.character_01.dict.yaml:332	loo7->loe7; 與普通話不同，音樂的樂也是loo7	loo7	converted
樂	ngoe7	1	ruianese.character_01.dict.yaml:333	ngoo7->ngoe7; 樂清	ngoo7	converted
